node_idx,description
11,"This node has direct edges to 84 out of the 398 other nodes in the network (degree centrality 0.2111 × 398 ≈ 84). Its closeness centrality of 0.5408 corresponds to a mean shortest-path distance of 1 / 0.5408 ≈ 1.85 hops to reach any other node in the graph. The betweenness centrality of 0.0051 indicates this node lies on approximately 0.51% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.3964 signifies that about 39.6% of the node's 84 neighbors are mutually connected, generating a denser local structure. The square clustering coefficient of 0.2242 indicates that approximately 22.4% of potential four-node cycles (squares) among the node's neighbors are closed, reflecting the degree to which connections are also present through paths of length two."
12,"This node has direct edges to 65 out of the 398 other nodes in the network, confirming a degree centrality of 0.1633 (degree = 65). Its closeness centrality of 0.4889 corresponds to a mean shortest-path distance of approximately 2.04 hops to reach any other node in the graph (1 / 0.4889 ≈ 2.04). The betweenness centrality of 0.0032 indicates that this node lies on around 0.32% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.3149 signifies that approximately 31.5% of the node's 65 neighbors are interconnected, forming a localized clustering of connections. The square clustering coefficient of 0.2257 means that around 22.6% of the potential four-node cycles (squares) that could be formed among the node's neighbors are closed, suggesting moderate connectivity through paths of length two between its adjacent nodes."
13,"This node has direct edges to 46 out of the 398 other nodes in the network. The node degree of 0.1156 confirms this neighbor count, as it is calculated by multiplying the degree by the total number of other nodes (0.1156 × 398 ≈ 46). Its closeness centrality of 0.4944 corresponds to a mean shortest-path distance of approximately 2.02 hops to reach any other node in the graph, derived from 1 / 0.4944. The betweenness centrality of 0.0018 indicates that this node lies on about 0.18% of all shortest paths between pairs of nodes in the network. The clustering coefficient of 0.4734 signifies that approximately 47.34% of the node's 46 neighbors share a direct edge with one another, indicating a moderately dense local community. Lastly, the square clustering coefficient of 0.2577 indicates that about 25.77% of potential four-node cycles are closed among the node’s neighbors, reflecting a moderate connection through indirect paths among its neighbors."
14,"This node has direct edges to 42 out of the 398 other nodes in the network (degree centrality 0.1055 × 399 ≈ 42). Its closeness centrality of 0.4766 corresponds to a mean shortest-path distance of 1 / 0.4766 ≈ 2.095 hops to reach any other node in the graph. The betweenness centrality of 0.0023 means this node lies on approximately 0.23% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.4065 indicates that about 40.65% of the node's 42 neighbors share a direct edge with one another, illustrating a moderately connected local neighbourhood. The square clustering coefficient of 0.2182 shows that 21.82% of potential four-node cycles (squares) are closed among the node's neighbors, reflecting the interconnectedness of these neighbors through paths of length two and direct edges."
15,"This node has direct edges to 97 out of the 398 other nodes in the network, corresponding to a degree centrality of 0.2437 (0.2437 × 398 ≈ 97). Its closeness centrality of 0.5230 indicates a mean shortest-path distance of approximately 1.91 hops to reach any other node in the graph (1 / 0.5230 ≈ 1.91). The betweenness centrality of 0.0124 suggests that this node is part of approximately 1.24% of all shortest paths between other pairs of nodes in the network. The clustering coefficient of 0.2425 implies that about 24.25% of the node's 97 neighbors share direct edges with one another, indicating a somewhat sparse local neighborhood structure. The square clustering coefficient of 0.1885 reveals that 18.85% of all potential four-node cycles (squares) that could be formed by the node's neighbors are completed, reflecting a moderate level of connectivity among neighbors through both direct and two-hop paths."
16,"This node has direct edges to 98 out of the 398 other nodes in the network (degree centrality 0.2462 × 398 ≈ 98). Its closeness centrality of 0.5293 corresponds to a mean shortest-path distance of 1 / 0.5293 ≈ 1.89 hops to reach any other node in the graph. The betweenness centrality of 0.0089 indicates that this node lies on approximately 0.89% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.2744 suggests that about 27.4% of the node's 98 neighbors are connected to each other, highlighting that intra-connectivity among neighbors is relatively low. The square clustering coefficient of 0.2015 indicates that 20.15% of potential four-node cycles (squares) among the node's neighbors are closed, reflecting the level of connectedness among neighbors through paths of length two, in addition to direct edges."
17,"This node has direct edges to 83 out of the 398 other nodes in the network (degree centrality 0.2085 × 398 ≈ 83). Its closeness centrality of 0.4994 corresponds to a mean shortest-path distance of 1 / 0.4994 ≈ 2.00 hops to reach any other node in the graph. The betweenness centrality of 0.0064 indicates that this node lies on approximately 0.64% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.2727 signifies that about 27.27% of the node's 83 neighbors share a direct edge with each other, indicating a relatively sparse local neighborhood. The square clustering coefficient of 0.1812 reflects that 18.12% of potential four-node cycles (squares) among the node's neighbors are closed, suggesting some connectivity among neighbors through paths of length two alongside direct edges."
18,"This node has direct edges to 131 out of the 398 other nodes in the network (degree centrality 0.3291 × 398 ≈ 131). Its closeness centrality of 0.5614 corresponds to a mean shortest-path distance of 1 / 0.5614 ≈ 1.78 hops to reach any other node in the graph. The betweenness centrality of 0.0201 means this node lies on approximately 2.01% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.2420 indicates that about 24.2% of the node's 131 neighbors share direct edges with one another, forming a local neighborhood that has limited density. The square clustering coefficient of 0.1805 measures the fraction of potential four-node cycles (squares) among the node's neighbors; here, 18.05% of such cycles are present, reflecting that a smaller percentage of neighbors are connected through paths of length two as well as direct edges."
19,"This node has direct edges to 107 out of the 398 other nodes in the network, consistent with its degree centrality of 0.2688 (degree centrality = 0.2688 × 398 ≈ 107). Its closeness centrality of 0.5614 corresponds to a mean shortest-path distance of approximately 1.78 hops to reach any other node in the graph (average path length = 1 / 0.5614 ≈ 1.78). The betweenness centrality value of 0.0369 indicates that this node lies on approximately 3.69% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.2023 means that about 20.23% of the node's 107 neighbors share direct edges with one another, revealing the connectivity among the node's local neighborhood. The square clustering coefficient of 0.1609 suggests that 16.09% of potential four-node cycles among its neighbors are closed, indicating the extent of connections among neighbors through paths of length two in addition to direct edges."
20,"This node has direct edges to 202 out of the 398 other nodes in the network (degree centrality 0.5075 × 398 ≈ 202). Its closeness centrality of 0.6600 corresponds to a mean shortest-path distance of 1 / 0.6600 ≈ 1.52 hops to reach any other node in the graph. The betweenness centrality of 0.0869 indicates that this node lies on approximately 8.69% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.1663 informs us that about 16.63% of the node's 202 neighbors share a direct edge with one another, indicating a relatively sparse local neighborhood connection. The square clustering coefficient of 0.1481 represents the fraction of potential four-node cycles (squares) among the node's neighbors that are closed; here, 14.81% of such cycles are present, indicating a moderate level of connectivity among neighbors through paths of length two."
21,"This node has direct edges to 72 out of the 398 other nodes in the network (degree centrality 0.1809 × 398 ≈ 72). Its closeness centrality of 0.5314 corresponds to a mean shortest-path distance of 1 / 0.5314 ≈ 1.88 hops to reach any other node in the graph. The betweenness centrality of 0.0035 indicates that this node lies on approximately 0.35% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.4667 suggests that about 46.67% of the node's 72 neighbors share direct edges with one another, indicating a moderately connected local neighborhood. The square clustering coefficient of 0.2419 reveals that approximately 24.19% of the potential closed four-node cycles are present among the node's neighbors, reflecting the level of connectivity among them through paths of length two as well as direct edges."
22,"This node has direct edges to 116 out of the 398 other nodes in the network (degree centrality 0.2915 × 398 ≈ 116). Its closeness centrality of 0.5760 corresponds to a mean shortest-path distance of 1 / 0.5760 ≈ 1.74 hops to reach any other node in the graph. The betweenness centrality of 0.0363 indicates this node lies on approximately 3.63% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.3138 signifies that about 31.4% of the node's 116 neighbors share a direct edge with one another, suggesting a moderate level of local connectivity among neighboring nodes. The square clustering coefficient of 0.1885 measures that 18.85% of potential four-node cycles (squares) among the node's neighbors are closed, reflecting the extent of second-degree connections among them."
23,"This node has direct edges to 167 out of the 398 other nodes in the network (degree centrality 0.4196 × 398 ≈ 167). Its closeness centrality of 0.6238 corresponds to a mean shortest-path distance of approximately 1.60 hops to reach any other node in the graph (1 / 0.6238 ≈ 1.60). The betweenness centrality of 0.0423 indicates that this node lies on approximately 4.23% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.2489 reveals that about 24.89% of the node's 167 neighbors share a direct edge with one another, indicating a moderate density of connections in its local neighborhood. The square clustering coefficient of 0.1754 implies that 17.54% of the potential four-node cycles that could exist among the neighbors are closed, reflecting the degree to which these neighbors are interconnected through two-paths as well as direct connections."
24,"This node has direct edges to 64 out of the 398 other nodes in the network (degree centrality 0.1608 × 399 ≈ 64). Its closeness centrality of 0.5122 corresponds to a mean shortest-path distance of approximately 1.95 hops to reach any other node in the graph (1 / 0.5122 ≈ 1.95). The betweenness centrality of 0.0027 indicates that this node lies on about 0.27% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.3527 reveals that approximately 35.3% of the node's 64 neighbors are directly connected to each other, illustrating a moderate level of local connectivity among them. The square clustering coefficient of 0.2319 means that around 23.2% of the potential four-node cycles (squares) that could be formed among the node's neighbors are closed, indicating a lower but notable level of connectivity through two-step paths and direct edges among its neighborhood."
25,"This node has direct edges to 43 out of the 398 other nodes in the network, which corresponds to its degree centrality of 0.1080 (degree = 0.1080 × 399 ≈ 43). Its closeness centrality of 0.5013 reflects a mean shortest-path distance of approximately 1.99 hops to reach any other node in the graph (average path length = 1 / 0.5013 ≈ 1.99). The betweenness centrality of 0.0012 indicates that this node is part of about 0.12% of all shortest paths between every pair of nodes in the network (betweenness percentage = 0.0012 × 100). The clustering coefficient of 0.5017 implies that approximately 50.17% of the node's 43 neighbors are directly connected to one another, forming a moderately dense local neighbourhood. The square clustering coefficient of 0.2555 suggests that around 25.55% of potential four-node cycles (squares) among the node's neighbors are closed, highlighting the extent to which neighbors are interconnected through paths of length two and direct connections."
26,"This node has direct edges to 136 out of the 398 other nodes in the network (degree centrality 0.3417 × 398 ≈ 136). Its closeness centrality of 0.5862 corresponds to a mean shortest-path distance of 1 / 0.5862 ≈ 1.70 hops to reach any other node in the graph. The betweenness centrality of 0.0242 indicates that this node lies on approximately 2.42% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.2590 suggests that about 25.9% of the node's 136 neighbors are mutually connected, forming a local density among the neighbors. The square clustering coefficient of 0.1821 indicates that 18.21% of potential four-node cycles (squares) are closed among the node's neighbors, reflecting the extent to which connections through paths of length two are present in addition to direct edges."
27,"This node has direct edges to 166 out of the 398 other nodes in the network (degree centrality 0.4171 × 398 ≈ 166). Its closeness centrality of 0.6228 corresponds to a mean shortest-path distance of 1 / 0.6228 ≈ 1.61 hops to reach any other node in the graph. The betweenness centrality of 0.0537 indicates this node is on approximately 5.37% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.2058 means that about 20.58% of the node's 166 neighbors share a direct edge with one another, reflecting a relatively sparse local neighborhood. The square clustering coefficient of 0.1694 indicates that approximately 16.94% of potential four-node cycles (squares) among the node's neighbors are closed, illustrating a level of connectivity through paths of length two among the neighbors."
28,"This node has direct edges to 12 out of the 398 other nodes in the network (degree centrality 0.0302 × 398 ≈ 12). Its closeness centrality of 0.4303 corresponds to a mean shortest-path distance of 1 / 0.4303 ≈ 2.32 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between any pairs of nodes, representing 0% of all shortest paths. The clustering coefficient of 0.6818 signifies that approximately 68.2% of the node's 12 neighbors share a direct edge with one another, indicating a relatively dense local neighborhood. The square clustering coefficient of 0.3689 reflects that 36.9% of potential four-node cycles (squares) are closed among the node's neighbors, illustrating a moderate level of connectivity through paths of length two as well as direct edges among its neighbors."
29,"This node has direct edges to 53 out of the 398 other nodes in the network (degree centrality of 0.1332 × 398 ≈ 53). Its closeness centrality of 0.5019 corresponds to a mean shortest-path distance of 1 / 0.5019 ≈ 1.99 hops to reach any other node in the graph. The betweenness centrality of 0.0014 indicates that this node lies on approximately 0.14% of all shortest paths between pairs of nodes in the network. The clustering coefficient of 0.4579 indicates that about 45.8% of the node's 53 neighbors share a direct edge with one another, indicating a moderate level of local interconnectedness. The square clustering coefficient of 0.2486 reflects that 24.9% of potential four-node cycles (squares) are closed among the node's neighbors, showing that there is a reasonable degree of connectivity among neighbors through paths of length two as well as direct links."
30,"This node has direct edges to 75 out of the 398 other nodes in the network (degree centrality 0.1884 × 398 ≈ 75). Its closeness centrality of 0.4854 corresponds to a mean shortest-path distance of 1 / 0.4854 ≈ 2.06 hops to reach any other node in the graph. The betweenness centrality of 0.0044 indicates that this node lies on approximately 0.44% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.2400 signifies that about 24.0% of the node's 75 neighbors share a direct edge with one another, suggesting a somewhat sparse local neighbourhood connectivity. The square clustering coefficient of 0.1864 measures that approximately 18.6% of potential four-node cycles (squares) are closed among the node's neighbors, indicating the extent to which the node's neighbours are interconnected through paths of length two in addition to direct edges."
31,"This node has direct edges to 89 out of the 398 other nodes in the network (degree centrality 0.2236 × 398 ≈ 89). Its closeness centrality of 0.5209 corresponds to a mean shortest-path distance of 1 / 0.5209 ≈ 1.92 hops to reach any other node in the graph. The betweenness centrality of 0.0075 indicates that this node lies on approximately 0.75% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.3001 suggests that about 30.01% of the node's 89 neighbors are mutually connected to one another. This forms a less dense local neighbourhood compared to higher clustering values. The square clustering coefficient of 0.1940 measures that 19.4% of the potential four-node cycles (squares) are closed among the node's neighbors, indicating a limited presence of connections that span across two degrees of separation among the neighbors, reflecting the network's structural connectivity in that area."
32,"This node has direct edges to 40 out of the 398 other nodes in the network (degree centrality 0.1005 × 399 ≈ 40). Its closeness centrality of 0.4836 corresponds to a mean shortest-path distance of 1 / 0.4836 ≈ 2.07 hops to reach any other node in the graph. The betweenness centrality of 0.0006 indicates that this node lies on approximately 0.06% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.5141 signifies that about 51.4% of the node's 40 neighbors are directly connected to one another, indicating a moderate density in the local neighborhood. The square clustering coefficient of 0.2876 reflects that approximately 28.8% of potential four-node cycles (squares) among the node's neighbors are completed, showing the extent to which connections exist through second-degree relationships as well as direct edges."
33,"This node has direct edges to 88 out of the 398 other nodes in the network (degree centrality 0.2211 × 398 ≈ 88). Its closeness centrality of 0.5182 corresponds to a mean shortest-path distance of 1 / 0.5182 ≈ 1.93 hops to reach any other node in the graph. The betweenness centrality of 0.0092 indicates that this node lies on approximately 0.92% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.2124 suggests that about 21.24% of the node's 88 neighbors share a direct edge with one another, reflecting a relatively sparse local network structure. The square clustering coefficient of 0.1716 indicates that 17.16% of potential four-node cycles (squares) are closed among the node's neighbors, implying a degree of connectivity among neighbors through paths of length two in addition to direct edges."
34,"This node has direct edges to 81 out of the 398 other nodes in the network (degree centrality 0.2035 × 398 ≈ 81). Its closeness centrality of 0.5378 corresponds to a mean shortest-path distance of 1 / 0.5378 ≈ 1.86 hops to reach any other node in the graph. The betweenness centrality of 0.0040 indicates that this node lies on approximately 0.40% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.4139 means that about 41.39% of the node's 81 neighbors share a direct edge with one another, suggesting a moderately interconnected local neighborhood. The square clustering coefficient of 0.2251 reflects that approximately 22.51% of potential four-node cycles (squares) among the node's neighbors are closed, indicating a presence of connections formed through paths of length two in addition to direct edges."
35,"This node has direct edges to 143 out of the 398 other nodes in the network (degree centrality 0.3593 × 398 ≈ 143). Its closeness centrality of 0.5949 corresponds to a mean shortest-path distance of 1 / 0.5949 ≈ 1.68 hops to reach any other node in the graph. The betweenness centrality of 0.0252 indicates that this node lies on approximately 2.52% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.2899 reveals that about 28.99% of the node's 143 neighbors are mutually connected, indicating a moderate level of local connectivity among them. The square clustering coefficient of 0.1892 means that 18.92% of all potential four-node cycles (squares) among the node's neighbors are closed, highlighting the extent to which neighbors are interconnected through paths of length two as well as direct edges."
36,"This node has direct edges to 156 out of the 398 other nodes in the network (degree centrality 0.3920 × 398 ≈ 156). Its closeness centrality of 0.6086 corresponds to a mean shortest-path distance of 1 / 0.6086 ≈ 1.64 hops to reach any other node in the graph. The betweenness centrality of 0.0487 indicates that this node lies on approximately 4.87% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.2438 signifies that about 24.38% of the node's 156 neighbors share a direct edge with one another, indicating a moderate density in the local neighborhood. The square clustering coefficient of 0.1738 shows that 17.38% of potential four-node cycles (squares) are closed among the node's neighbors, reflecting a certain level of connectivity among neighbors through two-step paths as well as direct edges."
37,"This node has direct edges to 100 out of the 398 other nodes in the network (degree centrality 0.2513 × 398 ≈ 100). Its closeness centrality of 0.5475 corresponds to a mean shortest-path distance of 1 / 0.5475 ≈ 1.83 hops to reach any other node in the graph. The betweenness centrality of 0.0257 indicates that this node lies on approximately 2.57% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.2055 signifies that around 20.55% of the node's 100 neighbors are directly connected to each other, suggesting a sparse local neighborhood. The square clustering coefficient of 0.1610 indicates that approximately 16.10% of potential four-node cycles (squares) among the node's neighbors are closed, reflecting the degree to which neighbors are interconnected through paths of length two in addition to direct edges."
38,"This node has direct edges to 149 out of the 398 other nodes in the network (degree centrality 0.3744 × 398 ≈ 149). Its closeness centrality of 0.5994 corresponds to a mean shortest-path distance of 1 / 0.5994 ≈ 1.67 hops to reach any other node in the graph. The betweenness centrality of 0.0255 indicates that this node lies on approximately 2.55% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.2692 indicates that about 26.92% of the node's 149 neighbors share a direct edge with one another, suggesting a moderate level of local connectivity among the neighbors. The square clustering coefficient of 0.1770 signifies that 17.70% of potential four-node cycles (squares) are closed among the node's neighbors, reflecting the extent to which the neighbors are interconnected through pairs of edges in addition to direct connections."
39,"This node has direct edges to 97 out of the 398 other nodes in the network (degree centrality 0.2437 × 398 ≈ 97). Its closeness centrality of 0.5598 corresponds to a mean shortest-path distance of 1 / 0.5598 ≈ 1.79 hops to reach any other node in the graph. The betweenness centrality of 0.0473 indicates that this node lies on approximately 4.73% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.2932 means that about 29.32% of the node's 97 neighbors share direct edges with one another, indicating a moderate level of mutual connectivity among its local neighborhood. The square clustering coefficient of 0.1827 reflects that approximately 18.27% of the potential four-node cycles among the node's neighbors are closed, showing a level of connectivity through paths of length two in addition to direct edges within the local structure."
40,"This node has direct edges to 117 out of the 398 other nodes in the network (degree centrality 0.2940 × 398 ≈ 117). Its closeness centrality of 0.5735 corresponds to a mean shortest-path distance of 1 / 0.5735 ≈ 1.74 hops to reach any other node in the graph. The betweenness centrality of 0.0863 indicates that this node lies on approximately 8.63% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.2371 signifies that about 23.71% of the node's 117 neighbors share a direct edge with one another, highlighting a relatively sparse local neighborhood. The square clustering coefficient of 0.1654 reflects that approximately 16.54% of potential four-node cycles (squares) are closed among the node's neighbors, illustrating the degree to which those neighbors are connected through paths of length two, in addition to direct edges."
41,"This node has direct edges to 84 out of the 398 other nodes in the network (degree centrality 0.2111 × 398 ≈ 84). Its closeness centrality of 0.5169 corresponds to a mean shortest-path distance of 1 / 0.5169 ≈ 1.93 hops to reach any other node in the graph. The betweenness centrality of 0.0059 indicates that this node lies on approximately 0.59% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.2576 shows that about 25.76% of the node's 84 neighbors share a direct edge with one another, indicating a moderate level of local interconnectedness. The square clustering coefficient of 0.2005 reflects that 20.05% of potential four-node cycles (squares) among the node's neighbors are closed, revealing the degree of connectivity among neighbors via both direct and two-step paths."
42,"This node has direct edges to 19 out of the 398 other nodes in the network (degree centrality 0.0477 × 398 ≈ 19). Its closeness centrality of 0.4393 corresponds to a mean shortest-path distance of 1 / 0.4393 ≈ 2.28 hops to reach any other node in the graph. The betweenness centrality of 0.0001 indicates that this node is present on approximately 0.01% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.4854 suggests that about 48.5% of the node's 19 neighbors are connected to each other through direct edges, creating a moderately dense local neighborhood. The square clustering coefficient of 0.2801 reveals that approximately 28.01% of the potential four-node cycles (squares) formed by the node's neighbors are closed, indicating a moderate level of connectivity among neighbors through two-hop paths as well as direct connections."
43,"This node has direct edges to 80 out of the 398 other nodes in the network (degree centrality 0.2010 × 398 ≈ 80). Its closeness centrality of 0.4932 corresponds to a mean shortest-path distance of 1 / 0.4932 ≈ 2.03 hops to reach any other node in the graph. The betweenness centrality of 0.0041 indicates that this node lies on approximately 0.41% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.2658 shows that about 26.6% of the node's 80 neighbors share direct edges with one another, forming a local neighborhood of connections. The square clustering coefficient of 0.2092 indicates that approximately 20.9% of potential four-node cycles (squares) among the node's neighbors are closed, reflecting the extent to which these neighbors are interconnected through paths of length two alongside direct edges."
